iter	Passed	Remaining
944	49711	2893
945	49754	2840
946	49805	2787
947	49817	2732
948	49871	2680
949	49912	2626
950	49965	2574
951	50006	2521
952	50040	2467
953	50067	2414
954	50098	2360
955	50145	2307
956	50213	2256
957	50265	2203
958	50290	2150
959	50324	2096
960	50334	2042
961	50340	1988
962	50393	1936
963	50437	1883
964	50488	1831
965	50528	1778
966	50580	1726
967	50611	1673
968	50679	1621
969	50727	1568
970	50768	1516
971	50794	1463
972	50836	1410
973	50858	1357
974	50880	1304
975	50923	1252
976	50964	1199
977	51031	1147
978	51083	1095
979	51117	1043
980	51164	990
981	51171	937
982	51233	886
983	51284	833
984	51350	781
985	51379	729
986	51405	677
987	51447	624
988	51481	572
989	51489	520
990	51542	468
991	51592	416
992	51597	363
993	51639	311
994	51680	259
995	51686	207
996	51691	155
997	51696	103
998	51702	51
999	51710	0
